year,COWcode,v2x_polyarchy,e_pt_coup,e_wb_pop,e_peinfmor,e_mipopula,e_pop,e_gdppc,e_peaveduc
1789,70,0.026,,,,,645.627,1.352,
1790,70,0.026,,,,,647.112,1.357,
1791,70,0.026,,,,,647.464,1.371,
1792,70,0.026,,,,,649.721,1.389,
1793,70,0.026,,,,,650.911,1.401,
1794,70,0.026,,,,,654.68,1.409,
1795,70,0.026,,,,,654.622,1.413,
1796,70,0.026,,,,,655.345,1.403,
1797,70,0.026,,,,,654.773,1.392,
1798,70,0.026,,,,,657.793,1.378,
1799,70,0.026,,,,,658.654,1.363,
1800,70,0.026,,,,5100,662.16,1.348,
1801,70,0.026,,,,5174.35,663.717,1.336,
1802,70,0.026,,,,5248.7,662.653,1.316,
1803,70,0.026,,,,5323.05,665.123,1.304,
1804,70,0.026,,,,5397.4,669.238,1.282,
1805,70,0.026,,,,5471.75,671.656,1.26,
1806,70,0.026,,,,5546.1,675.055,1.237,
1807,70,0.026,,,,5620.45,677.081,1.211,
1808,70,0.026,,,,5694.8,678.424,1.182,
1809,70,0.026,,,,5769.15,681.308,1.152,
1810,70,0.029,,,,5843.5,682.706,1.128,
1811,70,0.029,,,,5917.85,683.999,1.106,
1812,70,0.036,,,,5992.2,683.164,1.107,
1813,70,0.051,,,,6066.55,683.712,1.101,
1814,70,0.051,,,,6140.9,685.856,1.088,
1815,70,0.051,,,,6215.25,689.349,1.079,
1816,70,0.038,,,,6289.6,690.739,1.083,
1817,70,0.038,,,,6363.95,694.026,1.074,
1818,70,0.038,,,,6438.3,697.043,1.073,
1819,70,0.038,,,,6512.65,701.51,1.068,
1820,70,0.046,,,,6587,703.97,1.059,
1821,70,0.09,,,,6566.5,708.553,1.057,
1822,70,0.147,,,,6546,713.231,1.06,
1823,70,0.174,,,,6525.5,714.587,1.059,
1824,70,0.178,,,,6505,720.703,1.058,
1825,70,0.178,,,,6484.5,728.179,1.062,
1826,70,0.178,,,,6464,728.177,1.066,
1827,70,0.178,,,,6443.5,734.91,1.066,
1828,70,0.178,,,,6423,741.883,1.073,
1829,70,0.178,,,,6402.5,743.063,1.077,
1830,70,0.147,,,,6382,746.907,1.083,
1831,70,0.147,,,,6448.2,750.299,1.085,
1832,70,0.159,,,,6514.4,755.957,1.085,
1833,70,0.178,,,,6580.6,760.382,1.083,
1834,70,0.178,,,,6646.8,766.241,1.088,
1835,70,0.178,,,,6713,772.089,1.092,
1836,70,0.178,,,,6779.2,774.805,1.086,
